ID_DATA;ID_PRODUTO;ID_AGENCIA;ID_CLIENTE;SALDO_DEVEDOR_FINAL;VALOR_VENCIDO_TOTAL;DIAS_EM_ATRASO
2025-02-22 00:00:00;PRC002;AG005NE;CL003548;8035,35;16603,02;116
2025-02-07 00:00:00;PRC005;AG004SUL;CL003558;40195,55;5290,32;45
2025-02-27 00:00:00;PRC001;AG004SUL;CL001900;42538,53;718,6;143
2025-02-18 00:00:00;PRC001;AG001SP;CL001155;2689,58;8400,08;61
2025-02-28 00:00:00;PRC004;AG003MG;CL000588;7194,31;193,74;128
2025-02-20 00:00:00;PRC006;AG004SUL;CL001822;33290,8;14623,15;24
2025-02-24 00:00:00;PRC007;AG005NE;CL004080;6031,83;15632,31;117
2025-02-20 00:00:00;PRC001;AG002RJ;CL001242;21822,68;13954,33;91
2025-02-22 00:00:00;PRC006;AG002RJ;CL000896;30834;1863,92;160
2025-02-04 00:00:00;PRC005;AG002RJ;CL002941;26761,1;1751,83;67
2025-02-19 00:00:00;PRC008;AG002RJ;CL004579;21536,84;3864,99;1
2025-02-23 00:00:00;PRC006;AG004SUL;CL001959;35749,1;6639,97;139
2025-02-23 00:00:00;PRC002;AG004SUL;CL003831;43979,12;15181,74;12
2025-02-13 00:00:00;PRC006;AG001SP;CL000640;33889,91;9687,82;125
2025-02-17 00:00:00;PRC002;AG001SP;CL000442;40838,9;4325,01;148
2025-02-09 00:00:00;PRC006;AG002RJ;CL001337;3637,49;5927,84;47
2025-02-22 00:00:00;PRC004;AG005NE;CL003374;42548,95;14678,11;86
2025-02-10 00:00:00;PRC005;AG004SUL;CL000393;12450,75;2511,31;80
2025-02-14 00:00:00;PRC007;AG003MG;CL001788;9427,03;16547,13;123
2025-02-02 00:00:00;PRC004;AG004SUL;CL002660;16739,78;17502,36;82
2025-02-10 00:00:00;PRC007;AG004SUL;CL003619;10349,53;10911,64;133
2025-02-02 00:00:00;PRC007;AG005NE;CL000424;5897,93;1640,47;179
2025-02-17 00:00:00;PRC003;AG004SUL;CL004366;39071,7;698,78;122
2025-02-06 00:00:00;PRC003;AG001SP;CL004758;49519,05;8890,57;70
2025-02-04 00:00:00;PRC008;AG004SUL;CL004179;45745,08;3381,24;5
2025-02-11 00:00:00;PRC002;AG001SP;CL004494;26033,24;10014,22;130
2025-02-21 00:00:00;PRC006;AG003MG;CL002724;37034,05;5578,76;36
2025-02-05 00:00:00;PRC004;AG002RJ;CL004917;8688,32;9419;153
2025-02-14 00:00:00;PRC007;AG002RJ;CL000068;4695,55;12049,4;165
2025-02-13 00:00:00;PRC007;AG002RJ;CL001086;22589,26;2701,6;13
2025-02-20 00:00:00;PRC005;AG002RJ;CL001059;18740,38;5021,6;11
2025-02-28 00:00:00;PRC003;AG002RJ;CL004578;31411,58;4246,68;3
2025-02-21 00:00:00;PRC007;AG001SP;CL001448;11102,14;3669,05;84
2025-02-08 00:00:00;PRC004;AG003MG;CL003660;30900,73;8227,49;131
2025-02-23 00:00:00;PRC004;AG004SUL;CL004275;43079,85;9851,98;124
2025-02-22 00:00:00;PRC008;AG001SP;CL000579;27389,11;3318,02;1
2025-02-07 00:00:00;PRC008;AG005NE;CL001186;32734,31;16796,41;52
2025-02-21 00:00:00;PRC006;AG001SP;CL001645;24725,7;18485,74;37
2025-02-08 00:00:00;PRC003;AG002RJ;CL004963;39359,8;2555,49;85
2025-02-11 00:00:00;PRC005;AG001SP;CL004977;38560,05;2547,39;144
2025-02-17 00:00:00;PRC004;AG001SP;CL000704;20625,84;5975,66;56
2025-02-06 00:00:00;PRC006;AG005NE;CL002430;31933,92;272,68;38
2025-02-17 00:00:00;PRC001;AG005NE;CL000856;7304,94;1841,98;95
2025-02-23 00:00:00;PRC007;AG004SUL;CL000183;39276,38;17975,76;73
2025-02-23 00:00:00;PRC005;AG004SUL;CL003005;39347,47;1316,24;32
2025-02-02 00:00:00;PRC002;AG004SUL;CL003340;37364,15;9276,28;17
2025-02-17 00:00:00;PRC002;AG004SUL;CL000988;22365,44;6366,08;83
2025-02-02 00:00:00;PRC002;AG005NE;CL000727;37152,29;13332,34;71
2025-02-07 00:00:00;PRC001;AG004SUL;CL000990;10881,4;16081,91;52
2025-02-20 00:00:00;PRC005;AG002RJ;CL002687;39339,25;19893,68;86
2025-02-17 00:00:00;PRC004;AG004SUL;CL004007;26127,81;11021,02;67
2025-02-04 00:00:00;PRC007;AG001SP;CL000202;17304,59;5961,51;93
2025-02-18 00:00:00;PRC008;AG002RJ;CL002498;23145,99;5556,9;18
2025-02-15 00:00:00;PRC006;AG002RJ;CL001867;761,23;13038,02;53
2025-02-06 00:00:00;PRC006;AG004SUL;CL003190;19301,7;961,85;52
2025-02-15 00:00:00;PRC008;AG003MG;CL002502;37057,24;10464,26;56
2025-02-23 00:00:00;PRC004;AG002RJ;CL004094;36647,45;2713,77;2
2025-02-27 00:00:00;PRC003;AG001SP;CL004364;44094,96;17872,71;89
2025-02-01 00:00:00;PRC003;AG003MG;CL001237;10673,53;15408,94;107
2025-02-12 00:00:00;PRC008;AG001SP;CL001131;49313,71;6060,35;87
2025-02-08 00:00:00;PRC001;AG002RJ;CL002659;20795,32;19330,95;15
2025-02-19 00:00:00;PRC005;AG002RJ;CL002121;33981,03;13522,1;72
2025-02-26 00:00:00;PRC007;AG003MG;CL003436;27379,59;6359,65;73
2025-02-05 00:00:00;PRC003;AG004SUL;CL001890;28812,93;11594,62;51
2025-02-01 00:00:00;PRC003;AG005NE;CL004001;33977;17453,1;159
2025-02-20 00:00:00;PRC004;AG001SP;CL004775;47576,96;19716,11;142
2025-02-27 00:00:00;PRC005;AG005NE;CL003268;33695;9148,86;10
2025-02-27 00:00:00;PRC001;AG002RJ;CL001592;20465,14;7938,96;107
2025-02-18 00:00:00;PRC001;AG002RJ;CL003265;11172,83;8299,21;164
2025-02-23 00:00:00;PRC007;AG001SP;CL003274;36592,69;3952,78;167
2025-02-22 00:00:00;PRC008;AG003MG;CL001443;23306,26;10505,17;143
2025-02-16 00:00:00;PRC006;AG003MG;CL003760;24268,79;4298,33;139
2025-02-24 00:00:00;PRC006;AG001SP;CL001464;20545,99;7272,91;100
2025-02-21 00:00:00;PRC008;AG003MG;CL003276;32423,93;1971,88;96
2025-02-27 00:00:00;PRC008;AG002RJ;CL001258;25717,07;7430,93;111
2025-02-27 00:00:00;PRC002;AG001SP;CL002173;35361,05;18315,76;55
2025-02-03 00:00:00;PRC007;AG004SUL;CL000786;2361,43;3903,94;50
2025-02-17 00:00:00;PRC003;AG005NE;CL004155;41585,25;6513,7;142
2025-02-16 00:00:00;PRC002;AG003MG;CL002391;37949,24;17477,5;24
2025-02-08 00:00:00;PRC001;AG001SP;CL003181;19392,35;7030,85;8
2025-02-02 00:00:00;PRC007;AG005NE;CL000341;17413,44;482,2;52
2025-02-03 00:00:00;PRC002;AG004SUL;CL000359;38737,7;18110,78;104
2025-02-02 00:00:00;PRC001;AG003MG;CL002568;29274,94;8302,5;16
2025-02-12 00:00:00;PRC002;AG003MG;CL003731;27512,2;15754,84;169
2025-02-13 00:00:00;PRC004;AG004SUL;CL002047;26709,24;5667,28;166
2025-02-15 00:00:00;PRC002;AG001SP;CL001709;41313,29;246,82;149
2025-02-04 00:00:00;PRC006;AG002RJ;CL003212;13995,03;14845,87;176
2025-02-27 00:00:00;PRC003;AG002RJ;CL000558;38705,76;9488,7;47
2025-02-05 00:00:00;PRC005;AG002RJ;CL003489;31538,99;18350,86;26
2025-02-06 00:00:00;PRC008;AG004SUL;CL004811;10133,15;10498;85
2025-02-21 00:00:00;PRC005;AG005NE;CL000943;20359,99;15319,43;145
2025-02-22 00:00:00;PRC001;AG002RJ;CL003638;25630,62;2295,07;116
2025-02-26 00:00:00;PRC004;AG002RJ;CL004222;20799,27;1019,5;68
2025-02-08 00:00:00;PRC003;AG003MG;CL000277;20176,51;12350,58;54
2025-02-11 00:00:00;PRC005;AG005NE;CL001228;3559,48;11753,94;41
2025-02-14 00:00:00;PRC006;AG005NE;CL002236;46259,85;3624,51;170
2025-02-05 00:00:00;PRC003;AG003MG;CL003199;2814,1;17802,76;146
2025-02-08 00:00:00;PRC002;AG005NE;CL003337;20749,99;12656,05;176
2025-02-27 00:00:00;PRC003;AG005NE;CL001382;22700,26;14603,47;9
2025-02-25 00:00:00;PRC001;AG002RJ;CL002093;45519,63;11780,4;79
2025-02-27 00:00:00;PRC002;AG004SUL;CL000358;44092,62;4876,04;147
2025-02-13 00:00:00;PRC001;AG001SP;CL002423;29266,54;13118,07;24
